Warehouse_block,Mode_of_Shipment,Cost_of_the_Product,Product_importance,Discount_offered,Reached.on.Time_Y.N,Customer_calls_class,Prior_purchase_category,Weight_category
D,Flight,177,low,44,late,occasionally calls,0-3 purchase,light
F,Flight,216,low,59,late,occasionally calls,0-3 purchase,medium
A,Flight,183,low,48,late,seldom calls,> 3 purchase,medium
B,Flight,176,medium,10,late,seldom calls,> 3 purchase,light
C,Flight,184,medium,46,late,seldom calls,0-3 purchase,light
F,Flight,162,medium,12,late,seldom calls,0-3 purchase,light
D,Flight,250,low,3,late,seldom calls,0-3 purchase,light
F,Flight,233,low,48,late,occasionally calls,0-3 purchase,light
A,Flight,150,low,11,late,seldom calls,0-3 purchase,light
B,Flight,164,medium,29,late,seldom calls,0-3 purchase,light
C,Flight,189,medium,12,late,seldom calls,0-3 purchase,medium
F,Flight,232,medium,32,late,occasionally calls,0-3 purchase,medium
D,Flight,198,medium,1,late,seldom calls,0-3 purchase,medium
F,Flight,275,high,29,late,occasionally calls,0-3 purchase,light
A,Flight,152,low,43,late,occasionally calls,0-3 purchase,light
B,Flight,227,low,45,late,occasionally calls,0-3 purchase,light
C,Flight,143,medium,6,late,seldom calls,0-3 purchase,light
F,Ship,227,medium,36,late,frequently calls,0-3 purchase,medium
D,Ship,239,high,18,late,frequently calls,0-3 purchase,light
F,Ship,145,medium,45,late,occasionally calls,0-3 purchase,light
A,Ship,161,medium,38,late,seldom calls,0-3 purchase,light
B,Ship,232,medium,51,late,seldom calls,> 3 purchase,medium
C,Ship,156,low,2,late,seldom calls,0-3 purchase,light
F,Ship,211,high,12,late,occasionally calls,0-3 purchase,medium
D,Ship,251,medium,28,late,occasionally calls,0-3 purchase,medium
F,Ship,225,low,29,late,seldom calls,> 3 purchase,medium
A,Ship,172,high,24,late,occasionally calls,0-3 purchase,light
B,Ship,162,medium,31,late,frequently calls,0-3 purchase,light
C,Ship,234,low,44,late,seldom calls,> 3 purchase,medium
F,Ship,183,low,36,late,frequently calls,0-3 purchase,medium
D,Ship,266,medium,38,late,seldom calls,0-3 purchase,light
F,Ship,257,low,61,late,frequently calls,0-3 purchase,medium
A,Ship,223,low,22,late,seldom calls,0-3 purchase,medium
B,Ship,234,medium,4,late,occasionally calls,0-3 purchase,medium
C,Ship,227,medium,22,late,occasionally calls,> 3 purchase,light
F,Ship,149,medium,44,late,frequently calls,0-3 purchase,light
D,Ship,137,high,62,late,seldom calls,> 3 purchase,light
F,Ship,181,medium,16,late,seldom calls,> 3 purchase,medium
A,Ship,215,low,56,late,frequently calls,> 3 purchase,medium
B,Ship,269,low,45,late,occasionally calls,> 3 purchase,light
C,Ship,227,low,15,late,frequently calls,0-3 purchase,medium
F,Ship,139,medium,61,late,frequently calls,> 3 purchase,light
D,Ship,137,medium,38,late,seldom calls,0-3 purchase,light
F,Ship,174,low,44,late,seldom calls,0-3 purchase,light
A,Ship,151,low,29,late,seldom calls,0-3 purchase,light
B,Ship,210,low,9,late,frequently calls,0-3 purchase,medium
C,Ship,169,medium,32,late,seldom calls,> 3 purchase,light
F,Ship,160,low,32,late,frequently calls,0-3 purchase,light
D,Ship,190,medium,9,late,frequently calls,0-3 purchase,medium
F,Ship,216,low,40,late,frequently calls,0-3 purchase,light
A,Ship,183,low,37,late,occasionally calls,0-3 purchase,light
B,Ship,141,low,22,late,occasionally calls,0-3 purchase,light
C,Ship,165,low,44,late,occasionally calls,0-3 purchase,light
F,Ship,170,low,41,late,seldom calls,0-3 purchase,light
D,Ship,203,high,12,late,occasionally calls,0-3 purchase,medium
F,Ship,246,low,46,late,seldom calls,> 3 purchase,light
A,Ship,238,low,61,late,seldom calls,0-3 purchase,medium
B,Ship,193,medium,29,late,seldom calls,0-3 purchase,medium
C,Ship,141,high,41,late,frequently calls,0-3 purchase,light
F,Ship,150,high,17,late,occasionally calls,0-3 purchase,light
D,Ship,221,low,64,late,seldom calls,0-3 purchase,light
F,Ship,179,medium,52,late,seldom calls,0-3 purchase,light
A,Ship,105,medium,62,late,frequently calls,> 3 purchase,light
B,Ship,177,medium,61,late,seldom calls,0-3 purchase,light
C,Ship,261,high,49,late,occasionally calls,0-3 purchase,medium
F,Ship,202,low,49,late,seldom calls,0-3 purchase,medium
D,Ship,109,medium,15,late,seldom calls,0-3 purchase,light
F,Ship,158,low,6,late,seldom calls,0-3 purchase,light
A,Ship,231,medium,6,late,occasionally calls,> 3 purchase,light
B,Ship,206,medium,39,late,seldom calls,0-3 purchase,medium
C,Ship,187,high,14,late,frequently calls,> 3 purchase,medium
F,Ship,230,low,2,late,frequently calls,0-3 purchase,light
D,Ship,232,medium,33,late,frequently calls,0-3 purchase,medium
F,Ship,215,medium,21,late,occasionally calls,0-3 purchase,medium
A,Ship,238,low,13,late,frequently calls,> 3 purchase,light
B,Ship,266,low,23,late,occasionally calls,0-3 purchase,medium
C,Ship,158,medium,36,late,seldom calls,0-3 purchase,light
F,Ship,113,low,43,late,seldom calls,0-3 purchase,light
D,Ship,223,low,18,late,seldom calls,0-3 purchase,medium
F,Ship,257,medium,56,late,seldom calls,0-3 purchase,medium
A,Ship,180,medium,49,late,seldom calls,0-3 purchase,light
B,Ship,132,low,18,late,seldom calls,0-3 purchase,light
C,Ship,217,high,26,late,occasionally calls,0-3 purchase,medium
F,Ship,162,high,31,late,frequently calls,0-3 purchase,light
D,Ship,197,medium,40,late,occasionally calls,0-3 purchase,light
F,Ship,197,medium,13,late,seldom calls,0-3 purchase,light
A,Ship,185,low,44,late,occasionally calls,0-3 purchase,medium
B,Ship,278,medium,3,late,frequently calls,0-3 purchase,medium
C,Ship,229,low,49,late,seldom calls,0-3 purchase,light
F,Ship,186,medium,57,late,occasionally calls,> 3 purchase,medium
D,Ship,174,high,41,late,frequently calls,> 3 purchase,light
F,Ship,286,low,18,late,frequently calls,0-3 purchase,medium
A,Ship,175,medium,7,late,occasionally calls,0-3 purchase,light
B,Ship,219,medium,17,late,seldom calls,0-3 purchase,medium
C,Ship,213,high,35,late,occasionally calls,> 3 purchase,light
F,Ship,235,low,57,late,seldom calls,0-3 purchase,light
D,Ship,149,medium,18,late,seldom calls,0-3 purchase,light
